39,38,47,32,56,14,33,26,53,21,42,12,6,25,27,35,54,18,55,9,13,20,7,31,11,29,23,17,22,37,30,2,5,40,41,61,3,19,51,62,16,57,28,36,24,46,10,63,60,52,58,4,15,8,43,1,59,48,49,50,64,65,34,45,44,66
64,50,16,63,3,58,62,23,15,18,5,28,6,7,19,20,1,8,41,22,11,17,9,59,4,46,21,24,56,51,52,30,35,40,48,60,26,65,36,2,25,53,39,32,10,14,37,27,13,12,55,42,31,61,29,66,49,54,43,57,33,45,34,38,44,47
58,63,35,40,41,38,42,66,37,56,44,30,36,6,29,25,43,17,22,62,28,19,5,31,21,45,50,61,13,24,59,54,52,49,27,15,2,32,7,60,9,18,57,55,11,16,39,1,3,14,33,8,26,47,20,46,64,4,48,51,65,12,34,23,53,10
16,19,8,15,14,18,40,62,33,22,30,5,27,34,23,29,65,32,35,4,12,6,9,41,1,10,13,37,7,53,52,45,60,38,44,50,51,24,39,49,20,55,61,2,42,63,21,47,3,59,17,57,64,36,25,46,11,31,58,43,56,66,54,28,48,26
5,31,4,63,27,35,62,21,29,25,59,19,13,14,30,39,49,34,36,18,28,17,43,24,6,41,65,7,8,44,57,2,3,47,20,61,64,46,33,53,40,60,48,15,9,66,42,55,11,50,1,45,22,12,52,16,51,56,10,32,23,26,58,54,38,37
35,52,47,22,16,18,30,20,1,53,27,58,25,3,15,2,56,10,17,11,13,29,9,33,28,50,14,43,4,24,23,8,44,66,51,31,32,5,63,54,36,60,7,12,40,61,39,19,6,45,37,21,41,48,42,57,38,55,46,26,59,34,49,62,65,64
4,43,42,10,17,59,23,1,55,37,57,29,34,49,9,35,30,60,36,18,24,33,47,13,39,51,50,40,19,6,54,56,14,65,46,15,12,31,25,45,41,22,64,3,32,21,66,8,63,27,26,52,44,16,38,62,58,53,2,11,28,61,7,48,5,20
38,49,13,66,19,26,22,23,14,33,21,16,27,34,56,6,11,7,24,25,12,2,63,15,28,32,30,31,3,37,29,35,59,57,43,62,8,58,40,61,52,55,60,18,10,42,5,36,51,48,41,46,17,9,39,54,45,1,53,20,4,64,50,44,47,65
21,36,37,22,24,31,29,46,1,25,18,45,55,59,9,58,23,47,57,48,30,17,16,27,50,15,28,6,53,39,11,4,56,10,62,54,33,64,34,41,5,63,61,42,3,26,32,65,38,52,2,60,66,43,19,44,40,7,51,8,14,12,13,20,35,49
42,22,39,33,1,47,27,15,40,16,8,44,29,48,66,41,35,18,62,50,7,38,6,45,3,10,9,28,46,49,63,14,54,58,37,53,61,21,60,12,25,57,24,65,55,26,30,32,64,36,59,19,31,5,34,23,43,17,56,13,4,11,51,52,20,2
5,56,35,41,31,49,44,29,18,20,16,40,26,23,17,19,28,30,22,24,10,8,21,34,6,46,38,47,27,1,64,55,63,12,53,51,14,48,11,39,52,59,25,32,2,54,36,15,9,7,66,50,13,57,37,62,3,45,4,65,61,58,33,42,60,43
21,56,25,11,27,15,38,26,19,54,18,35,37,36,28,7,22,46,52,29,42,57,6,62,55,41,1,2,53,44,14,65,9,40,12,45,58,17,66,61,30,64,33,4,24,23,43,60,10,31,34,20,39,16,5,32,63,8,51,3,49,13,50,48,59,47
4,3,23,36,29,5,51,63,62,65,15,30,31,34,42,16,18,57,35,21,39,55,41,43,19,28,38,22,52,44,45,13,56,37,53,8,14,20,26,61,9,17,59,27,58,54,40,64,49,25,47,48,7,66,12,60,46,24,50,10,11,33,32,2,6,1
49,9,48,30,50,42,28,47,65,27,22,4,58,21,46,66,8,59,3,43,56,6,35,16,18,57,64,15,45,41,38,25,37,60,44,23,24,19,5,2,29,14,1,12,11,36,52,53,20,54,31,34,39,13,55,17,51,32,61,7,62,33,63,26,10,40
44,45,65,55,26,59,54,18,47,63,66,41,23,34,48,43,51,35,25,37,38,19,9,3,60,11,46,24,30,16,31,40,21,36,39,50,42,17,4,53,33,7,22,64,29,56,61,20,49,27,12,1,2,62,10,5,13,6,58,57,28,52,32,8,15,14
28,19,45,4,38,16,54,51,41,44,6,63,46,1,21,14,65,43,35,36,5,26,25,52,40,18,50,3,47,2,7,53,33,20,29,30,8,9,31,32,66,62,60,61,22,42,10,24,37,17,27,49,56,11,12,55,59,13,48,15,23,64,34,39,57,58
33,32,16,8,30,23,34,27,65,43,24,28,35,62,12,37,41,5,57,17,29,64,22,18,1,4,42,56,9,21,49,19,25,55,10,3,39,66,40,11,54,59,48,44,20,50,61,52,63,58,47,26,14,53,36,31,60,15,7,6,13,38,2,51,46,45
10,9,23,32,49,26,47,31,57,66,55,59,61,48,60,62,34,44,42,13,40,51,63,50,18,20,11,41,16,7,36,35,6,45,56,29,46,53,27,39,22,52,37,43,30,54,2,33,25,24,15,19,28,58,38,17,64,1,3,8,65,12,4,14,5,21
9,47,8,5,24,51,12,22,17,49,46,4,59,48,39,33,2,45,58,30,37,50,6,31,23,21,13,27,34,52,1,18,41,66,65,15,20,54,14,28,53,56,29,19,11,40,10,63,32,35,42,36,62,3,26,38,43,61,64,44,55,16,60,25,57,7
