index,label,cluster,is_critical
293,COX4,1,1
294,COX5A,1,1
295,COX6,2,0
296,COX8,2,0
297,CPR6,2,0
298,CPR7,2,0
299,CPS1,2,0
300,CRM1,2,0
301,CRN1,2,0
302,CRZ1,2,0
303,CSE1,2,0
304,CSE2,2,0
305,CSE4,2,0
306,CSI1,2,0
307,CSL4,2,0
308,CSM1,2,0
309,CSM2,1,1
310,CSM3,2,0
311,CSN9,2,0
312,CSR2,2,0
313,CTF13,2,0
314,CTF18,2,0
315,CTF19,2,0
316,CTF3,2,0
317,CTF4,2,0
318,CTF8,2,0
319,CTI6,2,0
320,CTK1,1,1
321,CTK2,2,0
322,CTK3,2,0
323,CTR9,2,0
324,CTS1,2,0
325,CUE1,2,0
326,CUE2,2,0
327,CUE5,2,0
328,CUP9,2,0
329,CUR1,2,0
330,CUS1,2,0
331,CUS2,1,1
332,CUZ1,2,0
333,CWC2,2,0
334,CWC21,2,0
335,CWC22,2,0
336,CWC23,2,0
337,CYC1,2,0
338,CYC8,2,0
339,CYK3,2,0
340,CYM1,2,0
341,CYR1,1,1
342,CYT1,2,0
343,DAD1,1,1
344,DAD2,2,0
345,DAD3,2,0
346,DAD4,2,0
347,DAM1,2,0
348,DAS1,2,0
349,DBF2,2,0
350,DBF4,2,0
351,DBP10,1,1
352,DBP2,2,0
353,DBP5,2,0
354,DBP6,2,0
355,DCC1,2,0
356,DCN1,2,0
357,DCP1,2,0
358,DCP2,2,0
359,DDC1,2,0
360,DDI1,2,0
361,DED1,2,0
362,DEF1,2,0
363,DEP1,2,0
364,DER1,2,0
365,DFM1,2,0
366,DHH1,1,1
367,DHR2,2,0
368,DIA1,1,1
369,DIA2,2,0
370,DIB1,2,0
371,DID2,2,0
372,DID4,2,0
373,DIG1,2,0
374,DIG2,2,0
375,DIM1,2,0
376,DIP2,2,0
377,DIS3,1,1
378,DLD2,2,0
379,DLS1,2,0
380,DMA1,2,0
381,DMC1,1,1
382,DNA2,2,0
383,DNL4,2,0
384,DNM1,2,0
385,DOA1,2,0
386,DOA4,2,0
387,DOC1,2,0
388,DOT1,2,0
389,DPB11,2,0
390,DPB2,2,0
391,DPB3,2,0
392,DPB4,2,0
393,DPH1,2,0
394,DPH2,1,1
395,DRS1,2,0
396,DRS2,2,0
397,DSC2,2,0
398,DSC3,2,0
399,DSE3,2,0
400,DSK2,2,0
401,DSL1,2,0
402,DSN1,2,0
403,DSS4,1,1
404,DST1,2,0
405,DUN1,2,0
406,DUO1,2,0
407,DYN1,2,0
408,DYN2,2,0
409,EAF1,2,0
410,EAF3,2,0
411,EAF5,2,0
412,EAF6,2,0
413,EAF7,2,0
414,EAP1,2,0
415,EAR1,2,0
416,EBP2,2,0
417,EBS1,2,0
418,ECM16,2,0
419,ECM2,2,0
420,ECM29,2,0
421,ECM30,2,0
422,ECM5,2,0
423,ECO1,2,0
424,EDC3,2,0
425,EDE1,2,0
426,EFT1,2,0
427,EFT2,2,0
428,ELA1,2,0
429,ELC1,2,0
430,ELF1,2,0
431,ELG1,2,0
432,ELP2,2,0
433,ELP3,2,0
434,ELP4,2,0
435,ELP6,2,0
436,EMG1,1,1
437,END3,2,0
438,ENP1,2,0
