index,label,cluster,is_critical
0,1020,2,0
1,1044,2,0
2,1051,2,0
3,1054,2,0
4,1055,2,0
5,1056,2,0
6,1057,2,0
7,1074,2,0
8,1075,2,0
9,1084,2,0
10,11051,2,0
11,1107,2,0
12,1120,2,0
13,1130,2,0
14,1165,2,0
15,1177,2,0
16,1180,2,0
17,1187,2,0
18,1190,2,0
19,1197,2,0
20,1198,2,0
21,1200,2,0
22,1212,2,0
23,1218,2,0
24,1225,2,0
25,1229,2,0
26,1230,2,0
27,1246,2,0
28,1253,2,0
29,1273,2,0
30,1335,2,0
31,1353,2,0
32,1382,2,0
33,1386,2,0
34,1452,2,0
35,146,2,0
36,1486,2,0
37,1509,2,0
38,1524,2,0
39,1529,2,0
40,1550,2,0
41,1555,2,0
42,156,2,0
43,1563,2,0
44,1587,2,0
45,1613,1,1
46,1626,2,0
47,1636,2,0
48,1638,2,0
49,1657,2,0
50,1665,2,0
51,1678,2,0
52,1688,2,0
53,1701,2,0
54,1715,2,0
55,1739,2,0
56,1743,2,0
57,1767,2,0
58,178,2,0
59,1800,2,0
60,1804,2,0
61,1824,2,0
62,1825,2,0
63,1836,2,0
64,1840,2,0
65,1852,2,0
66,1871,2,0
67,193,2,0
68,196,2,0
69,2006,2,0
70,2009,2,0
71,2042,2,0
72,2050,2,0
73,2057,2,0
74,2064,2,0
75,2072,2,0
76,2082,2,0
77,210,2,0
78,2170,2,0
79,2176,2,0
80,2179,2,0
81,2188,1,1
82,2191,2,0
83,2194,2,0
84,2206,2,0
85,2207,2,0
86,2219,2,0
87,2223,2,0
88,2246,2,0
89,2264,2,0
90,2275,2,0
91,2276,2,0
92,2279,2,0
93,2287,2,0
94,2305,2,0
95,2347,2,0
96,2359,2,0
97,2370,2,0
98,2372,2,0
99,2378,2,0
100,2384,2,0
101,2387,2,0
102,2397,2,0
103,2422,2,0
104,2430,2,0
105,2433,2,0
106,2560,2,0
107,2564,2,0
108,2650,2,0
109,2709,2,0
110,2715,2,0
111,2745,2,0
112,2789,2,0
113,2812,2,0
114,2816,2,0
115,2848,2,0
116,2850,2,0
117,2851,2,0
118,2883,2,0
119,2890,2,0
120,2895,2,0
121,2912,2,0
122,2913,2,0
123,2934,2,0
124,2948,2,0
125,2994,2,0
126,2997,2,0
127,3007,2,0
128,3008,2,0
129,3015,2,0
130,3017,2,0
131,302,2,0
132,3024,2,0
133,3034,2,0
134,3038,2,0
135,3040,2,0
136,3043,2,0
137,3061,2,0
138,3063,2,0
139,3076,2,0
140,3077,2,0
141,3084,2,0
142,3093,2,0
143,3098,2,0
144,3100,2,0
145,3105,2,0
146,3112,2,0
147,3121,2,0
148,3125,2,0
149,3131,2,0
150,3135,2,0
151,3136,2,0
152,3143,2,0
153,3144,2,0
154,3146,2,0
155,3153,2,0
156,3156,2,0
157,3174,2,0
158,3179,2,0
159,3205,2,0
160,3239,2,0
